PPM,INTENSITY
112.1130,116
111.9913,117
111.8695,117
111.7478,118
111.6260,118
111.5043,119
111.3826,119
111.2608,120
111.1391,120
111.0173,120
110.8956,121
110.7738,121
110.6521,122
110.5304,122
110.4086,123
110.2869,123
110.1651,124
110.0434,124
109.9216,125
109.7999,125
109.6782,126
109.5564,127
109.4347,127
109.3129,128
109.1912,128
109.0694,129
108.9477,129
108.8260,130
108.7042,130
108.5825,131
108.4607,131
108.3390,132
108.2172,133
108.0955,133
107.9738,134
107.8520,134
107.7303,135
107.6085,135
107.4868,136
107.3650,137
107.2433,137
107.1216,138
106.9998,138
106.8781,139
106.7563,140
106.6346,140
106.5129,141
106.3911,142
106.2694,142
106.1476,143
106.0259,144
105.9041,144
105.7824,145
105.6607,145
105.5389,146
105.4172,147
105.2954,147
105.1737,148
105.0519,149
104.9302,150
104.8085,150
104.6867,151
104.5650,152
104.4432,152
104.3215,153
104.1997,154
104.0780,155
103.9563,155
103.8345,156
103.7128,157
103.5910,158
103.4693,158
103.3475,159
103.2258,160
103.1041,161
102.9823,161
102.8606,162
102.7388,163
102.6171,164
102.4953,165
102.3736,165
102.2519,166
102.1301,167
102.0084,168
101.8866,169
101.7649,170
101.6432,171
101.5214,171
101.3997,172
101.2779,173
101.1562,174
101.0344,175
100.9127,176
100.7910,177
100.6692,178
100.5475,179
100.4257,180
100.3040,181
100.1822,182
100.0605,183
99.9388,184
99.8170,184
99.6953,185
99.5735,186
99.4518,188
99.3300,189
99.2083,190
99.0866,191
98.9648,192
98.8431,193
98.7213,194
98.5996,195
98.4778,196
98.3561,197
98.2344,198
98.1126,199
97.9909,201
97.8691,202
97.7474,203
97.6256,204
97.5039,205
97.3822,206
97.2604,208
97.1387,209
97.0169,210
96.8952,211
96.7735,213
96.6517,214
96.5300,215
96.4082,216
96.2865,218
96.1647,219
96.0430,220
95.9213,222
95.7995,223
95.6778,225
95.5560,226
95.4343,227
95.3125,229
95.1908,230
95.0691,232
94.9473,233
94.8256,235
94.7038,236
94.5821,238
94.4603,239
94.3386,241
94.2169,242
94.0951,244
93.9734,246
93.8516,247
93.7299,249
93.6081,251
93.4864,252
93.3647,254
93.2429,256
93.1212,258
92.9994,259
92.8777,261
92.7559,263
92.6342,265
92.5125,267
92.3907,269
92.2690,271
92.1472,273
92.0255,275
91.9038,277
91.7820,279
91.6603,281
91.5385,283
91.4168,285
91.2950,287
91.1733,289
91.0516,291
90.9298,294
90.8081,296
90.6863,298
90.5646,300
90.4428,303
90.3211,305
90.1994,308
90.0776,310
89.9559,313
89.8341,315
89.7124,318
89.5906,320
89.4689,323
89.3472,326
89.2254,328
89.1037,331
88.9819,334
88.8602,337
88.7384,340
88.6167,343
88.4950,346
88.3732,349
88.2515,352
88.1297,355
88.0080,358
87.8862,361
87.7645,365
87.6428,368
87.5210,371
87.3993,375
87.2775,378
87.1558,382
87.0340,386
86.9123,389
86.7906,393
86.6688,397
86.5471,401
86.4253,405
86.3036,409
86.1819,413
86.0601,418
85.9384,422
85.8166,427
85.6949,431
85.5731,436
85.4514,440
85.3297,445
85.2079,450
85.0862,455
84.9644,460
84.8427,466
84.7209,471
84.5992,477
84.4775,482
84.3557,488
84.2340,494
84.1122,500
83.9905,506
83.8687,513
83.7470,519
83.6253,526
83.5035,533
83.3818,540
83.2600,547
83.1383,555
83.0165,562
82.8948,570
82.7731,578
82.6513,586
82.5296,595
82.4078,604
82.2861,613
82.1643,622
82.0426,632
81.9209,642
81.7991,652
81.6774,662
81.5556,673
81.4339,684
81.3122,696
81.1904,708
81.0687,720
80.9469,733
80.8252,746
80.7034,759
80.5817,773
80.4600,788
80.3382,803
80.2165,818
80.0947,834
79.9730,850
79.8512,868
79.7295,885
79.6078,904
79.4860,923
79.3643,942
79.2425,963
79.1208,984
78.9990,1005
78.8773,1028
78.7556,1052
78.6338,1076
78.5121,1101
78.3903,1127
78.2686,1154
78.1468,1182
78.0251,1211
77.9034,1241
77.7816,1273
77.6599,1305
77.5381,1339
77.4164,1373
77.2946,1410
77.1729,1447
77.0512,1486
76.9294,1526
76.8077,1567
76.6859,1611
76.5642,1655
76.4425,1701
76.3207,1749
76.1990,1799
76.0772,1850
75.9555,1904
75.8337,1959
75.7120,2015
75.5903,2074
75.4685,2135
75.3468,2198
75.2250,2264
75.1033,2331
74.9815,2400
74.8598,2472
74.7381,2547
74.6163,2623
74.4946,2702
74.3728,2784
74.2511,2868
74.1293,2955
74.0076,3045
73.8859,3137
73.7641,3232
73.6424,3330
73.5206,3431
73.3989,3535
73.2771,3641
73.1554,3751
73.0337,3864
72.9119,3980
72.7902,4099
72.6684,4221
72.5467,4346
72.4249,4475
72.3032,4607
72.1815,4742
72.0597,4880
71.9380,5022
71.8162,5167
71.6945,5316
71.5728,5468
71.4510,5623
71.3293,5781
71.2075,5943
71.0858,6108
70.9640,6276
70.8423,6448
70.7206,6623
70.5988,6801
70.4771,6982
70.3553,7167
70.2336,7354
70.1118,7545
69.9901,7738
69.8684,7934
69.7466,8133
69.6249,8335
69.5031,8539
69.3814,8746
69.2596,8956
69.1379,9167
69.0162,9381
68.8944,9597
68.7727,9815
68.6509,10035
68.5292,10257
68.4074,10480
68.2857,10704
68.1640,10930
68.0422,11157
67.9205,11384
67.7987,11613
67.6770,11842
67.5552,12071
67.4335,12301
67.3118,12531
67.1900,12760
67.0683,12989
66.9465,13217
66.8248,13445
66.7030,13672
66.5813,13897
66.4596,14121
66.3378,14343
66.2161,14564
66.0943,14782
65.9726,14998
65.8509,15211
65.7291,15422
65.6074,15630
65.4856,15834
65.3639,16035
65.2421,16232
65.1204,16425
64.9987,16614
64.8769,16799
64.7552,16979
64.6334,17155
64.5117,17325
64.3899,17490
64.2682,17650
64.1465,17805
64.0247,17953
63.9030,18096
63.7812,18232
63.6595,18362
63.5377,18486
63.4160,18603
63.2943,18713
63.1725,18817
63.0508,18913
62.9290,19002
62.8073,19084
62.6855,19159
62.5638,19226
62.4421,19285
62.3203,19337
62.1986,19381
62.0768,19418
61.9551,19446
61.8333,19467
61.7116,19480
61.5899,19485
61.4681,19482
61.3464,19471
61.2246,19452
61.1029,19426
60.9812,19391
60.8594,19349
60.7377,19299
60.6159,19242
60.4942,19177
60.3724,19105
60.2507,19025
60.1290,18938
60.0072,18843
59.8855,18742
59.7637,18634
59.6420,18519
59.5202,18397
59.3985,18269
59.2768,18135
59.1550,17994
59.0333,17848
58.9115,17695
58.7898,17538
58.6680,17374
58.5463,17206
58.4246,17033
58.3028,16855
58.1811,16672
58.0593,16485
57.9376,16294
57.8158,16099
57.6941,15900
57.5724,15698
57.4506,15492
57.3289,15284
57.2071,15073
57.0854,14859
56.9636,14643
56.8419,14424
56.7202,14204
56.5984,13982
56.4767,13759
56.3549,13535
56.2332,13309
56.1115,13083
55.9897,12856
55.8680,12629
55.7462,12401
55.6245,12174
55.5027,11947
55.3810,11720
55.2593,11494
55.1375,11268
55.0158,11044
54.8940,10820
54.7723,10598
54.6505,10377
54.5288,10158
54.4071,9940
54.2853,9725
54.1636,9511
54.0418,9299
53.9201,9090
53.7983,8883
53.6766,8679
53.5549,8476
53.4331,8277
53.3114,8080
53.1896,7887
53.0679,7696
52.9461,7508
52.8244,7323
52.7027,7141
52.5809,6962
52.4592,6786
52.3374,6614
52.2157,6445
52.0939,6279
51.9722,6116
51.8505,5957
51.7287,5801
51.6070,5648
51.4852,5499
51.3635,5353
51.2418,5211
51.1200,5071
50.9983,4936
50.8765,4803
50.7548,4674
50.6330,4548
50.5113,4425
50.3896,4306
50.2678,4189
50.1461,4076
50.0243,3966
49.9026,3859
49.7808,3755
49.6591,3654
49.5374,3556
49.4156,3461
49.2939,3369
49.1721,3279
49.0504,3193
48.9286,3109
48.8069,3027
48.6852,2949
48.5634,2873
48.4417,2799
48.3199,2728
48.1982,2659
48.0764,2592
47.9547,2528
47.8330,2466
47.7112,2406
47.5895,2348
47.4677,2292
47.3460,2238
47.2242,2187
47.1025,2137
46.9808,2089
46.8590,2042
46.7373,1998
46.6155,1955
46.4938,1913
46.3721,1874
46.2503,1835
46.1286,1799
46.0068,1763
45.8851,1729
45.7633,1697
45.6416,1666
45.5199,1636
45.3981,1607
45.2764,1579
45.1546,1553
45.0329,1527
44.9111,1503
44.7894,1480
44.6677,1457
44.5459,1436
44.4242,1416
44.3024,1396
44.1807,1377
44.0589,1359
43.9372,1342
43.8155,1326
43.6937,1310
43.5720,1296
43.4502,1281
43.3285,1268
43.2067,1255
43.0850,1243
42.9633,1231
42.8415,1220
42.7198,1209
42.5980,1199
42.4763,1190
42.3545,1181
42.2328,1172
42.1111,1164
41.9893,1157
41.8676,1149
41.7458,1143
41.6241,1136
41.5023,1130
41.3806,1125
41.2589,1120
41.1371,1115
41.0154,1110
40.8936,1106
40.7719,1102
40.6502,1098
40.5284,1095
40.4067,1092
40.2849,1089
40.1632,1087
40.0414,1085
39.9197,1083
39.7980,1081
39.6762,1080
39.5545,1079
39.4327,1078
39.3110,1077
39.1892,1077
39.0675,1077
38.9458,1077
38.8240,1077
38.7023,1077
38.5805,1078
38.4588,1079
38.3370,1080
38.2153,1081
38.0936,1083
37.9718,1084
37.8501,1086
37.7283,1088
37.6066,1090
37.4848,1093
37.3631,1095
37.2414,1098
37.1196,1101
36.9979,1104
36.8761,1107
36.7544,1111
36.6326,1114
36.5109,1118
36.3892,1122
36.2674,1126
36.1457,1131
36.0239,1135
35.9022,1140
35.7805,1145
35.6587,1150
35.5370,1155
35.4152,1161
35.2935,1166
35.1717,1172
35.0500,1178
34.9283,1184
34.8065,1190
34.6848,1197
34.5630,1203
34.4413,1210
34.3195,1217
34.1978,1225
34.0761,1232
33.9543,1240
33.8326,1248
33.7108,1256
33.5891,1264
33.4673,1272
33.3456,1281
33.2239,1290
33.1021,1299
32.9804,1308
32.8586,1317
32.7369,1327
32.6151,1337
32.4934,1347
32.3717,1358
32.2499,1368
32.1282,1379
32.0064,1390
31.8847,1401
31.7629,1413
31.6412,1425
31.5195,1437
31.3977,1449
31.2760,1462
31.1542,1475
31.0325,1488
30.9108,1501
30.7890,1515
30.6673,1529
30.5455,1544
30.4238,1558
30.3020,1573
30.1803,1589
30.0586,1604
29.9368,1620
29.8151,1636
29.6933,1653
29.5716,1670
29.4498,1687
29.3281,1705
29.2064,1723
29.0846,1742
28.9629,1761
28.8411,1780
28.7194,1800
28.5976,1820
28.4759,1841
28.3542,1862
28.2324,1883
28.1107,1905
27.9889,1928
27.8672,1951
27.7454,1974
27.6237,1998
27.5020,2023
27.3802,2048
27.2585,2074
27.1367,2100
27.0150,2127
26.8932,2154
26.7715,2182
26.6498,2211
26.5280,2241
26.4063,2271
26.2845,2302
26.1628,2333
26.0411,2365
25.9193,2398
25.7976,2432
25.6758,2467
25.5541,2503
25.4323,2539
25.3106,2576
25.1889,2615
25.0671,2654
24.9454,2694
24.8236,2735
24.7019,2777
24.5801,2821
24.4584,2865
24.3367,2911
24.2149,2957
24.0932,3005
23.9714,3055
23.8497,3105
23.7279,3157
23.6062,3211
23.4845,3266
23.3627,3322
23.2410,3380
23.1192,3439
22.9975,3501
22.8757,3564
22.7540,3629
22.6323,3695
22.5105,3764
22.3888,3835
22.2670,3907
22.1453,3982
22.0235,4059
21.9018,4139
21.7801,4221
21.6583,4306
21.5366,4393
21.4148,4483
21.2931,4576
21.1713,4672
21.0496,4771
20.9279,4873
20.8061,4979
20.6844,5088
20.5626,5201
20.4409,5318
20.3192,5439
20.1974,5565
20.0757,5694
19.9539,5829
19.8322,5968
19.7104,6112
19.5887,6262
19.4670,6418
19.3452,6579
19.2235,6746
19.1017,6920
18.9800,7101
18.8582,7289
18.7365,7485
18.6148,7689
18.4930,7901
18.3713,8122
18.2495,8352
